Carimbo de data/hora,Nome Completo,Idade ,Município,Trilha ,Gênero,Ocupação atual/Emprego:,Cor ou Raça,Grau de Escolaridade,Participou do Trilhas Anterior,Acesso a net e ao pc,Faixa de Renda Familiar,Motivo da Participação,Escola de Origem
2023/12/15 13:18:17,DESAFIO,24,São Luís,Programação (Front-end),Feminino,Nunca Trabalhei,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 14:11:49,DESAFIO,21,São Luís,Programação (Back-end),Masculino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 14:16:07,DESAFIO,24,São Luís,Programação (Front-end),Masculino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Mudança de carreira,Pública
2023/12/15 14:24:20,DESAFIO,22,São Luís,Programação (Back-end),Masculino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Ter formação em uma das Trilhas,Pública
2023/12/15 14:35:51,DESAFIO,23,São Luís,Design e Experiência,Feminino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 14:38:13,DESAFIO,22,São Luís,Design e Experiência,Feminino,Empregado,Preta,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Ter formação em uma das Trilhas,Pública
2023/12/15 15:06:51,DESAFIO,23,São Luís,Design e Experiência,Feminino,Desempregado,Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Mudança de carreira,Pública
2023/12/15 15:08:08,DESAFIO,21,Timon,Programação (Front-end),Feminino,"Não estou empregado, mas focando apenas nos estudos",Parda,Graduação Incompleta (ou cursando),Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 15:13:53,DESAFIO,21,São Luís,Programação (Back-end),Masculino,A busca de emprego,Preta,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 5.210 e R$ 6.511,Conseguir um emprego,Pública
2023/12/15 15:17:01,DESAFIO,26,São Luís,Programação (Front-end),Masculino,Desempregado,Parda,Ens. Médio Completo,Não,Sim,Até  R$ 1.302,Conseguir um emprego,Pública
2023/12/15 15:17:22,DESAFIO,30,São José de Ribamar,Programação (Back-end),Feminino,A busca de emprego,Branca,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 1.303 e R$ 2.605,Conseguir um emprego,Pública
2023/12/15 15:17:28,DESAFIO,37,São José de Ribamar,Programação (Front-end),Masculino,A busca de emprego,Parda,Graduação Incompleta (ou cursando),Não,Sim,Entre R$ 2.606 e R$ 3.907,Conseguir um emprego,Pública
